ra,dec,clon,clat,oid,fid,transient_flag,astrometricrms,bestastrometricrms,bestchisq,bestcon,bestlineartrend,bestmagrms,bestmaxmag,bestmaxslope,bestmeanmag,bestmedianabsdev,bestmedianmag,bestminmag,bestnabovemeanbystd_1,bestnabovemeanbystd_3,bestnabovemeanbystd_5,bestnbelowmeanbystd_1,bestnbelowmeanbystd_3,bestnbelowmeanbystd_5,bestnconsecabovemeanbystd_1,bestnconsecabovemeanbystd_3,bestnconsecabovemeanbystd_5,bestnconsecbelowmeanbystd_1,bestnconsecbelowmeanbystd_3,bestnconsecbelowmeanbystd_5,bestnconsecfrommeanbystd_1,bestnconsecfrommeanbystd_3,bestnconsecfrommeanbystd_5,bestnmedianbufferrange,bestnpairposslope,bestpercentiles_05,bestpercentiles_10,bestpercentiles_175,bestpercentiles_25,bestpercentiles_325,bestpercentiles_40,bestpercentiles_60,bestpercentiles_675,bestpercentiles_75,bestpercentiles_825,bestpercentiles_90,bestpercentiles_95,bestskewness,bestsmallkurtosis,beststetsonj,beststetsonk,bestvonneumannratio,bestweightedmagrms,bestweightedmeanmag,chisq,con,lineartrend,magrms,maxmag,maxslope,meanmag,medianabsdev,medianmag,minmag,nabovemeanbystd_1,nabovemeanbystd_3,nabovemeanbystd_5,nbelowmeanbystd_1,nbelowmeanbystd_3,nbelowmeanbystd_5,nconsecabovemeanbystd_1,nconsecabovemeanbystd_3,nconsecabovemeanbystd_5,nconsecbelowmeanbystd_1,nconsecbelowmeanbystd_3,nconsecbelowmeanbystd_5,nconsecfrommeanbystd_1,nconsecfrommeanbystd_3,nconsecfrommeanbystd_5,nmedianbufferrange,npairposslope,nbestobs,ngoodobs,nobs,percentiles_05,percentiles_10,percentiles_175,percentiles_25,percentiles_325,percentiles_40,percentiles_60,percentiles_675,percentiles_75,percentiles_825,percentiles_90,percentiles_95,referencemag,referencemagerr,referencemumax,skewness,smallkurtosis,stetsonj,stetsonk,uncalibmeanmag,vonneumannratio,weightedmagrms,weightedmeanmag,dist,angle,id
322.748,12.176,b'21h30m59.50s',b'12d10m32.39s',b'33132080010516',b'2',0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,46,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,4.597808,263.886766,b'2'
117.770,16.422,b'07h51m04.86s',b'16d25m18.27s',b'34592065010059',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.884221,7.866038,b'0'
239.737,22.009,b'15h58m56.86s',b'22d00m32.60s',b'1001031020002555',b'1',0,3.338403e-06,3.338403e-06,0.356,1.0,-0.0003322749,0.138,21.677,0.001,21.539,0.098,21.553,21.373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21.439,21.406,21.392,21.387,21.383,21.382,21.379,21.378,21.378,21.377,21.377,21.377,-0.143,-12.178,-0.809,0.949,0.927,0.131,21.552,0.356,1.0,-0.0003322749,0.138,21.677,0.001,21.539,0.098,21.553,21.373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,21.439,21.406,21.392,21.387,21.383,21.382,21.379,21.378,21.378,21.377,21.377,21.377,21.552,0.048,24.141,-0.143,-12.178,-0.809,0.949,-99.0,0.927,0.131,21.552,4.547288,170.024539,b'0'
239.737,22.009,b'15h58m56.87s',b'22d00m32.65s',b'36922010006496',b'2',0,2.246159e-06,2.246159e-06,2.468,1.0,4.13813e-05,0.268,21.705,23.727,20.804,0.168,20.793,20.113,19,0,0,28,1,0,0,0,0,0,0,0,0,0,0,39,18,20.593,20.485,20.442,20.398,20.379,20.33,20.267,20.261,20.256,20.25,20.237,20.229,0.38,16.157,0.447,0.791,2.068,0.255,20.764,2.439,1.0,4.119249e-05,0.266,21.705,23.727,20.804,0.165,20.793,20.113,20,0,0,28,1,0,0,0,0,0,0,0,0,0,0,41,18,164,166,190,20.597,20.486,20.444,20.4,20.379,20.333,20.268,20.262,20.257,20.252,20.238,20.23,20.673,0.027,23.304,0.387,15.917,0.427,0.789,-99.0,2.044,0.253,20.764,4.526685,168.215867,b'1'
239.737,22.009,b'15h58m56.88s',b'22d00m32.59s',b'1001032020004119',b'2',0,2.09683e-06,2.09683e-06,3.064,1.0,-2.869839e-06,0.275,21.473,412.548,20.754,0.181,20.757,19.334,7,1,1,16,0,0,0,0,0,0,0,0,0,0,0,33,15,20.547,20.473,20.425,20.409,20.381,20.363,20.346,20.345,20.345,20.344,20.344,20.343,-0.989,125.93,0.52,0.713,2.098,0.287,20.722,3.064,1.0,-2.869839e-06,0.275,21.473,412.548,20.754,0.181,20.757,19.334,7,1,1,16,0,0,0,0,0,0,0,0,0,0,0,33,15,100,100,128,20.547,20.473,20.425,20.409,20.381,20.363,20.346,20.345,20.345,20.344,20.344,20.343,20.666,0.027,23.095,-0.989,125.93,0.52,0.713,22.102,2.098,0.287,20.722,4.608645,166.808819,b'2'
241.465,4.699,b'16h05m51.56s',b'04d41m57.06s',b'1300052055002671',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.850729,50.277462,b'0'
261.747,26.947,b'17h26m59.24s',b'26d56m50.54s',b'39842095017857',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.73986,127.277509,b'0'
0.028,-0.783,b'00h00m06.75s',b'-00d46m57.37s',b'26962055009133',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.540421,182.271776,b'0'
0.029,-0.782,b'00h00m06.88s',b'-00d46m54.17s',b'26962055000231',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,3,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.796452,100.747661,b'1'
0.029,-0.781,b'00h00m07.07s',b'-00d46m52.31s',b'26962055004929',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,4.866995,71.764513,b'2'
