ra,dec,clon,clat,oid,fid,transient_flag,astrometricrms,bestastrometricrms,bestchisq,bestcon,bestlineartrend,bestmagrms,bestmaxmag,bestmaxslope,bestmeanmag,bestmedianabsdev,bestmedianmag,bestminmag,bestnabovemeanbystd_1,bestnabovemeanbystd_3,bestnabovemeanbystd_5,bestnbelowmeanbystd_1,bestnbelowmeanbystd_3,bestnbelowmeanbystd_5,bestnconsecabovemeanbystd_1,bestnconsecabovemeanbystd_3,bestnconsecabovemeanbystd_5,bestnconsecbelowmeanbystd_1,bestnconsecbelowmeanbystd_3,bestnconsecbelowmeanbystd_5,bestnconsecfrommeanbystd_1,bestnconsecfrommeanbystd_3,bestnconsecfrommeanbystd_5,bestnmedianbufferrange,bestnpairposslope,bestpercentiles_05,bestpercentiles_10,bestpercentiles_175,bestpercentiles_25,bestpercentiles_325,bestpercentiles_40,bestpercentiles_60,bestpercentiles_675,bestpercentiles_75,bestpercentiles_825,bestpercentiles_90,bestpercentiles_95,bestskewness,bestsmallkurtosis,beststetsonj,beststetsonk,bestvonneumannratio,bestweightedmagrms,bestweightedmeanmag,chisq,con,lineartrend,magrms,maxmag,maxslope,meanmag,medianabsdev,medianmag,minmag,nabovemeanbystd_1,nabovemeanbystd_3,nabovemeanbystd_5,nbelowmeanbystd_1,nbelowmeanbystd_3,nbelowmeanbystd_5,nconsecabovemeanbystd_1,nconsecabovemeanbystd_3,nconsecabovemeanbystd_5,nconsecbelowmeanbystd_1,nconsecbelowmeanbystd_3,nconsecbelowmeanbystd_5,nconsecfrommeanbystd_1,nconsecfrommeanbystd_3,nconsecfrommeanbystd_5,nmedianbufferrange,npairposslope,nbestobs,ngoodobs,nobs,percentiles_05,percentiles_10,percentiles_175,percentiles_25,percentiles_325,percentiles_40,percentiles_60,percentiles_675,percentiles_75,percentiles_825,percentiles_90,percentiles_95,referencemag,referencemagerr,referencemumax,skewness,smallkurtosis,stetsonj,stetsonk,uncalibmeanmag,vonneumannratio,weightedmagrms,weightedmeanmag,dist,angle,id
0.029,-0.782,b'00h00m07.06s',b'-00d46m54.88s',b'26962055004477',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,4.713389,102.8908,b'3'
0.028,-0.782,b'00h00m06.76s',b'-00d46m53.68s',b'226961110001709',b'1',0,6.223179e-07,6.223179e-07,2.992,1.0,0.000430934,0.059,18.993,5.857,18.788,0.044,18.782,18.687,7,0,0,16,1,0,0,0,0,0,0,0,0,0,0,17,15,18.733,18.723,18.702,18.694,18.692,18.692,18.691,18.691,18.691,18.691,18.691,18.691,0.588,19.127,0.719,0.828,1.872,0.054,18.78,3.11,1.0,0.0004509374,0.073,19.057,6.639,18.799,0.047,18.79,18.687,6,0,0,17,2,0,0,0,0,0,0,0,0,0,0,20,15,83,95,95,18.737,18.723,18.709,18.698,18.692,18.692,18.691,18.691,18.691,18.691,18.691,18.691,18.753,0.006,21.248,1.068,17.688,0.707,0.833,18.758,1.835,0.056,18.782,0.161239,341.56665,b'4'
0.028,-0.782,b'00h00m06.75s',b'-00d46m53.80s',b'225922060002866',b'2',0,5.504859e-07,5.504859e-07,2.521,1.0,0.001480293,0.093,19.411,10.621,19.075,0.048,19.072,18.831,9,0,0,18,3,0,0,0,0,0,0,0,0,0,0,37,17,19.006,18.974,18.942,18.926,18.912,18.896,18.877,18.875,18.873,18.872,18.871,18.87,0.693,21.008,0.387,0.755,1.572,0.08,19.059,2.436,1.0,0.001318845,0.092,19.411,10.621,19.073,0.051,19.068,18.831,11,0,0,18,3,0,0,0,0,0,0,0,0,0,0,40,16,119,125,128,19.006,18.974,18.945,18.928,18.916,18.899,18.879,18.876,18.874,18.873,18.871,18.871,19.03,0.01,21.024,0.713,19.833,0.373,0.756,19.075,1.562,0.079,19.059,0.073574,299.056867,b'5'
0.028,-0.782,b'00h00m06.76s',b'-00d46m53.72s',b'226962110002703',b'2',0,8.179887e-07,8.179887e-07,2.864,1.0,8.023391e-05,0.097,19.493,7.349,19.09,0.052,19.081,18.771,12,1,0,37,2,0,0,0,0,0,0,0,0,0,0,66,15,19.012,18.985,18.971,18.958,18.947,18.945,18.929,18.922,18.911,18.901,18.893,18.888,0.662,30.736,0.457,0.77,1.632,0.08,19.067,2.755,1.0,7.695483e-05,0.097,19.493,7.349,19.089,0.052,19.081,18.771,13,1,0,38,2,0,0,0,0,0,0,0,0,0,0,71,15,201,211,211,19.018,18.985,18.968,18.952,18.946,18.94,18.904,18.888,18.876,18.866,18.858,18.853,19.069,0.011,21.361,0.511,29.356,0.441,0.768,19.099,1.596,0.08,19.068,0.111711,352.648297,b'6'
0.028,-0.782,b'00h00m06.76s',b'-00d46m53.76s',b'25922000001174',b'2',0,7.599096e-07,7.599096e-07,1.604,1.0,1.996753e-05,0.089,19.34,3.953,19.086,0.042,19.075,18.961,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,6,19.023,18.999,18.977,18.972,18.97,18.968,18.966,18.965,18.965,18.964,18.964,18.964,1.151,12.264,-0.165,0.742,1.689,0.073,19.076,1.604,1.0,1.996753e-05,0.089,19.34,3.953,19.086,0.042,19.075,18.961,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,6,17,17,18,19.023,18.999,18.977,18.972,18.97,18.968,18.966,18.965,18.965,18.964,18.964,18.964,19.059,0.026,20.983,1.151,12.264,-0.165,0.742,-99.0,1.689,0.073,19.076,0.086498,325.010484,b'7'
0.028,-0.782,b'00h00m06.76s',b'-00d46m53.75s',b'25921000001091',b'1',0,5.403684e-07,5.403684e-07,-99.0,1.118,0.001883128,2.661,29.894,93.715,19.814,0.049,18.826,18.685,0,0,0,26,11,0,0,0,0,0,0,0,0,0,0,180,15,18.771,18.75,18.735,18.732,18.726,18.721,18.715,18.714,18.714,18.713,18.713,18.713,2.392,-99.0,-99.0,-99.0,0.12,0.054,18.811,-99.0,1.118,0.001883128,2.661,29.894,93.715,19.814,0.049,18.826,18.685,0,0,0,26,11,0,0,0,0,0,0,0,0,0,0,180,15,206,206,206,18.771,18.75,18.735,18.732,18.726,18.721,18.715,18.714,18.714,18.713,18.713,18.713,18.789,0.01,21.089,2.392,-99.0,-99.0,-99.0,18.892,0.12,0.054,18.811,0.092565,339.445707,b'8'
0.028,-0.782,b'00h00m06.75s',b'-00d46m53.80s',b'26962055000717',b'2',1,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.105,0.0,0.0,0.0,0.067689,295.203178,b'9'
0.028,-0.782,b'00h00m06.76s',b'-00d46m53.75s',b'225921060001466',b'1',0,5.687016e-07,5.687016e-07,3.58,1.0,0.001693352,0.063,18.998,5.628,18.789,0.043,18.786,18.668,10,0,0,18,2,0,0,0,0,0,0,0,0,0,0,15,14,18.735,18.713,18.707,18.701,18.695,18.689,18.687,18.687,18.687,18.687,18.686,18.685,0.686,23.85,0.943,0.856,1.579,0.056,18.778,-99.0,1.0,0.002293566,0.119,19.772,38.579,18.807,0.048,18.793,18.668,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,62,15,86,107,108,18.739,18.713,18.703,18.698,18.697,18.693,18.687,18.687,18.687,18.687,18.687,18.687,18.771,0.009,21.097,5.183,-99.0,-99.0,-99.0,18.663,2.075,0.06,18.783,0.097583,331.559304,b'10'
0.029,20.741,b'00h00m06.94s',b'20d44m28.54s',b'36271060001311',b'1',0,1.922577e-07,1.922577e-07,1.16,1.0,0.0008851974,0.03,18.683,1.173,18.626,0.016,18.628,18.58,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,18.606,18.592,18.587,18.585,18.583,18.583,18.582,18.581,18.581,18.581,18.581,18.581,0.248,1.278,-0.16,0.805,1.408,0.028,18.623,1.16,1.0,0.0008851974,0.03,18.683,1.173,18.626,0.016,18.628,18.58,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,10,10,10,18.606,18.592,18.587,18.585,18.583,18.583,18.582,18.581,18.581,18.581,18.581,18.581,18.612,0.027,21.123,0.248,1.278,-0.16,0.805,18.636,1.408,0.028,18.623,0.081203,89.999996,b'0'
0.029,20.741,b'00h00m06.93s',b'20d44m28.56s',b'37242110004694',b'2',0,9.648093e-07,9.648093e-07,2.132,1.0,3.941702e-05,0.076,19.245,5.811,19.042,0.056,19.032,18.925,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,15,18.972,18.953,18.944,18.941,18.939,18.935,18.93,18.93,18.929,18.929,18.929,18.928,0.642,3.79,0.371,0.853,1.656,0.059,19.016,2.64,1.0,4.331683e-05,0.1,19.446,5.811,19.057,0.059,19.035,18.925,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,19,15,62,69,78,18.973,18.961,18.944,18.943,18.94,18.937,18.931,18.93,18.93,18.929,18.929,18.929,18.985,0.011,21.201,1.589,6.021,0.373,0.841,19.049,1.46,0.065,19.019,0.026261,352.390432,b'1'
0.029,20.741,b'00h00m06.93s',b'20d44m28.54s',b'37241110001430',b'1',0,1.688539e-07,1.688539e-07,2.84,1.0,-0.00120422,0.044,18.751,1.158,18.673,0.02,18.665,18.617,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,18.64,18.622,18.62,18.619,18.619,18.618,18.618,18.618,18.618,18.618,18.618,18.618,0.43,29.518,0.506,0.81,1.711,0.044,18.668,2.84,1.0,-0.00120422,0.044,18.751,1.158,18.673,0.02,18.665,18.617,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,9,9,9,18.64,18.622,18.62,18.619,18.619,18.618,18.618,18.618,18.618,18.618,18.618,18.618,18.69,0.015,21.3,0.43,29.518,0.506,0.81,18.672,1.711,0.044,18.668,0.007529,298.131239,b'2'
0.029,20.741,b'00h00m06.94s',b'20d44m28.54s',b'36272060003048',b'2',0,6.553367e-07,6.553367e-07,1.76,1.0,2.501904e-05,0.078,19.258,15.797,19.0,0.035,18.999,18.789,8,0,0,10,1,0,0,0,0,0,0,0,0,0,0,26,16,18.95,18.908,18.898,18.88,18.864,18.86,18.857,18.856,18.85,18.844,18.84,18.837,0.529,7.127,-0.034,0.753,1.842,0.061,18.992,1.656,1.0,2.253821e-05,0.076,19.258,15.797,19.001,0.035,18.999,18.789,8,0,0,11,1,0,0,0,0,0,0,0,0,0,0,28,16,69,74,76,18.953,18.914,18.9,18.884,18.868,18.861,18.857,18.857,18.854,18.848,18.844,18.841,19.016,0.013,21.0,0.511,6.406,-0.066,0.744,19.019,1.852,0.06,18.993,0.073702,84.447759,b'3'
0.030,29.950,b'00h00m07.29s',b'29d57m00.06s',b'41001110003302',b'1',0,3.827288e-07,3.827288e-07,10.041,1.0,2.956708e-05,0.019,14.851,0.515,14.813,0.012,14.81,14.788,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,12,14.797,14.792,14.79,14.789,14.789,14.788,14.788,14.788,14.788,14.788,14.788,14.788,0.556,142.101,1.756,0.881,0.974,0.014,14.806,-99.0,1.0,5.199674e-05,0.031,14.938,4.378,14.818,0.015,14.811,14.77,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,12,15,25,30,39,14.797,14.791,14.788,14.788,14.786,14.783,14.779,14.778,14.777,14.776,14.776,14.776,14.896,0.021,17.387,1.889,-99.0,-99.0,-99.0,14.918,1.114,0.015,14.806,0.488855,139.368778,b'0'
0.030,29.950,b'00h00m07.29s',b'29d57m00.10s',b'41002110006941',b'2',0,3.157111e-07,3.157111e-07,1.42,1.0,-1.688784e-06,0.007,15.455,0.841,15.435,0.005,15.435,15.419,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,15,14,15.43,15.426,15.425,15.424,15.424,15.424,15.422,15.421,15.421,15.42,15.42,15.42,0.152,2.989,0.034,0.819,1.636,0.006,15.435,2.077,1.0,6.871509e-07,0.012,15.511,1.903,15.437,0.005,15.435,15.419,2,0,0,5,2,1,0,0,0,0,0,0,0,0,0,44,14,86,89,104,15.43,15.427,15.425,15.425,15.424,15.424,15.422,15.421,15.421,15.421,15.42,15.42,15.45,0.008,17.731,3.631,24.415,0.053,0.752,15.661,1.767,0.008,15.436,0.456839,137.025632,b'1'
0.030,29.950,b'00h00m07.30s',b'29d57m00.04s',b'40101060002149',b'1',0,4.066939e-07,4.066939e-07,2.17,1.0,-0.0002327843,0.007,14.769,0.039,14.757,0.003,14.755,14.748,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,14.754,14.751,14.75,14.75,14.749,14.749,14.749,14.749,14.749,14.749,14.749,14.749,0.621,26.927,0.342,0.832,0.749,0.007,14.758,4.471,1.0,-0.0005705658,0.017,14.799,0.449,14.767,0.01,14.76,14.748,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,6,9,9,14.754,14.753,14.751,14.75,14.75,14.75,14.749,14.749,14.749,14.749,14.749,14.749,14.336,0.061,16.721,0.633,12.374,0.401,0.882,14.39,0.603,0.009,14.759,0.568688,133.142608,b'2'
0.030,29.950,b'00h00m07.30s',b'29d57m00.04s',b'40102060005676',b'2',0,4.055684e-07,4.055684e-07,1.757,1.0,7.991932e-07,0.007,15.46,0.586,15.441,0.006,15.441,15.427,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,14,15.434,15.432,15.43,15.43,15.429,15.429,15.429,15.428,15.428,15.428,15.428,15.428,0.223,4.284,0.407,0.839,1.637,0.007,15.441,2.105,1.0,3.756699e-06,0.011,15.49,0.996,15.443,0.006,15.442,15.418,4,0,0,9,2,0,0,0,0,0,0,0,0,0,0,21,13,63,70,70,15.434,15.432,15.43,15.429,15.429,15.428,15.428,15.427,15.427,15.426,15.425,15.425,15.44,0.011,17.407,1.375,9.073,0.418,0.822,15.641,1.201,0.008,15.441,0.561053,133.795254,b'3'
0.030,29.950,b'00h00m07.14s',b'29d57m00.20s',b'41002115002629',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.717111,262.162771,b'4'
0.030,-6.135,b'00h00m07.29s',b'-06d08m06.09s',b'24862110002470',b'2',0,8.760248e-07,8.760248e-07,2.259,1.0,2.389982e-05,0.073,18.412,6.786,18.212,0.035,18.205,18.027,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,13,18.166,18.133,18.117,18.109,18.101,18.096,18.078,18.072,18.068,18.064,18.061,18.059,0.424,9.142,0.428,0.801,1.414,0.05,18.201,2.199,1.0,2.936252e-05,0.077,18.45,72.641,18.217,0.036,18.205,18.027,4,0,0,8,1,0,0,0,0,0,0,0,0,0,0,16,13,47,52,52,18.166,18.134,18.119,18.112,18.104,18.098,18.083,18.077,18.072,18.068,18.065,18.063,18.19,0.017,20.512,0.718,7.909,0.377,0.797,18.241,1.548,0.049,18.202,0.094884,155.500849,b'0'
0.030,-6.135,b'00h00m07.30s',b'-06d08m06.12s',b'23822060002314',b'2',0,8.906553e-07,8.906553e-07,1.929,1.0,-1.822184e-05,0.057,18.347,5.094,18.224,0.039,18.231,18.053,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,10,15,18.178,18.164,18.148,18.134,18.125,18.119,18.097,18.092,18.088,18.085,18.082,18.081,-0.411,8.802,0.288,0.788,1.76,0.05,18.227,2.145,1.0,-2.087202e-05,0.074,18.356,11.746,18.227,0.043,18.234,17.918,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,12,13,40,48,48,18.183,18.163,18.137,18.113,18.083,18.065,18.024,18.012,18.003,17.995,17.989,17.985,18.221,0.017,20.411,-1.572,11.471,0.331,0.777,18.269,2.022,0.056,18.231,0.165403,134.283077,b'1'
0.064,17.648,b'00h00m15.44s',b'17d38m52.98s',b'35262055001025',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,4.584468,270.945203,b'0'
0.066,17.648,b'00h00m15.73s',b'17d38m53.01s',b'35262055001158',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,2,5,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.459961,282.642036,b'1'
0.066,17.648,b'00h00m15.87s',b'17d38m52.43s',b'35262055001772',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.518429,108.252873,b'2'
0.076,18.965,b'00h00m18.15s',b'18d57m55.80s',b'35272060005668',b'2',0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,62,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.13773,105.169824,b'0'
0.075,22.301,b'00h00m18.07s',b'22d18m03.17s',b'37242055013265',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,4.66568,273.983452,b'0'
0.077,22.301,b'00h00m18.38s',b'22d18m02.67s',b'37242055004410',b'2',1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.459324,247.363021,b'1'
0.077,22.301,b'00h00m18.41s',b'22d18m02.82s',b'36272000005966',b'2',0,3.302668e-07,3.302668e-07,4.243,1.0,-1.458582e-06,0.009,14.565,0.345,14.552,0.005,14.554,14.515,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,11,16,14.546,14.545,14.543,14.542,14.542,14.541,14.533,14.531,14.529,14.528,14.527,14.526,-1.886,204.623,0.824,0.717,1.859,0.009,14.553,7.133,1.0,-8.621686e-06,0.052,14.849,3.719,14.561,0.006,14.554,14.478,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,42,16,42,48,77,14.545,14.543,14.533,14.516,14.515,14.515,14.507,14.504,14.501,14.499,14.497,14.496,14.556,0.013,16.613,4.111,179.473,0.827,0.746,14.654,2.287,0.009,14.553,0.035975,226.597465,b'2'
0.077,22.301,b'00h00m18.40s',b'22d18m02.82s',b'36271000002711',b'1',0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,10,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.062614,246.008422,b'3'
0.094,-10.862,b'00h00m22.56s',b'-10d51m42.35s',b'21732060000617',b'2',0,1.664648e-06,1.664648e-06,3.804,1.0,-4.926222e-05,0.192,19.437,3.69,18.939,0.054,18.882,18.679,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,7,18.833,18.823,18.769,18.742,18.727,18.718,18.705,18.702,18.7,18.698,18.696,18.695,1.25,40.292,0.314,0.747,2.317,0.123,18.879,4.201,1.0,-5.409622e-05,0.185,19.437,3.69,18.957,0.082,18.897,18.679,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,8,12,14,14,18.833,18.825,18.785,18.753,18.736,18.725,18.71,18.706,18.704,18.701,18.7,18.698,19.09,0.07,21.231,1.02,40.458,1.079,0.802,18.954,2.269,0.134,18.899,0.320627,128.265643,b'0'
0.095,-0.110,b'00h00m22.90s',b'-00d06m35.47s',b'25921000002630',b'1',0,7.347915e-07,7.347915e-07,-99.0,1.118,0.00187291,2.653,29.29,94.897,19.234,0.026,18.247,18.148,0,0,0,26,11,0,0,0,0,0,0,0,0,0,0,180,15,18.22,18.206,18.197,18.196,18.194,18.194,18.189,18.188,18.187,18.186,18.185,18.184,2.392,-99.0,-99.0,-99.0,0.12,0.031,18.239,-99.0,1.118,0.00187291,2.653,29.29,94.897,19.234,0.026,18.247,18.148,0,0,0,26,11,0,0,0,0,0,0,0,0,0,0,180,15,206,206,206,18.22,18.206,18.197,18.196,18.194,18.194,18.189,18.188,18.187,18.186,18.185,18.184,18.247,0.008,20.471,2.392,-99.0,-99.0,-99.0,18.313,0.12,0.031,18.239,0.312842,39.889531,b'0'
0.095,-0.110,b'00h00m22.89s',b'-00d06m35.50s',b'225921060003447',b'1',0,4.534721e-07,4.534721e-07,1.62,1.0,0.0004714652,0.027,18.294,2.425,18.201,0.017,18.198,18.154,9,0,0,17,1,0,0,0,0,0,0,0,0,0,0,17,12,18.181,18.171,18.164,18.162,18.161,18.16,18.158,18.158,18.157,18.157,18.157,18.157,0.798,4.386,0.052,0.812,1.134,0.025,18.198,-99.0,1.0,0.001823268,0.145,19.599,25.912,18.222,0.022,18.204,17.878,2,0,0,4,1,1,0,0,0,0,0,0,0,0,0,101,13,86,110,110,18.182,18.172,18.163,18.16,18.158,18.156,18.131,18.105,18.085,18.068,18.055,18.047,18.2,0.008,20.462,7.654,-99.0,-99.0,-99.0,18.088,1.584,0.029,18.202,0.246941,32.535019,b'1'
