125122.06-023737.21,192.8436,-02.6717
153112.62+550139.60,232.7803,+55.0191
144657.14+580920.12,221.7148,+58.1535
074915.66+280641.01,117.3776,+28.0867
214627.88-071117.59,326.6084,-07.2167
041536.05+253857.11,063.9077,+25.6175
164453.35+213711.54,251.2279,+21.5942
161942.83+240715.70,244.9250,+24.1559
161132.90+290038.99,242.9424,+29.0011
154605.98+273319.03,236.5496,+27.5779
160143.77+261922.47,240.3885,+26.3167
162852.22+213751.24,247.1821,+21.6754
162911.84+204618.18,247.3095,+20.7548
170338.70+223637.20,255.9289,+22.6428
124248.90+133632.60,190.6915,+13.5789
133555.73+125137.62,203.9942,+12.8239
144307.71+093134.04,220.7988,+09.5144
144209.90+105733.92,220.4980,+10.9594
152707.20+101612.55,231.7729,+10.2648
125529.85+152750.19,193.8826,+15.4670
134748.59+080616.19,206.9339,+08.1396
151902.42+071535.42,229.7384,+07.2558
144036.14+052424.90,220.1634,+05.3667
154118.72+041711.58,235.3692,+04.2923
153529.06+053838.31,233.8601,+05.6419
150541.86+300202.31,226.4089,+30.0282
161514.42+215149.23,243.8609,+21.8706
081355.81+552251.81,123.4890,+55.3811
234542.60+454240.03,356.4174,+45.7554
232557.72+492132.93,351.4566,+49.3251
204023.28-000634.85,310.0870,-00.1432
225931.61-100146.96,344.8861,-10.0558
225544.31-081425.74,343.8877,-08.2199
210823.60+010155.39,317.1056,+01.0471
102232.37+342456.30,155.6504,+34.4416
213100.96+121144.50,322.7492,+12.1758
105442.98+302947.75,163.6988,+30.5120
125101.48+371049.72,192.7564,+37.2279
081354.35-003833.67,123.5360,-00.6547
073701.45+225637.68,114.2852,+22.9875
075053.28+144815.03,117.7322,+14.7639
075108.89+162325.81,117.7702,+16.4215
140117.21+273841.79,210.3211,+27.6539
155858.20+215828.97,239.7367,+22.0103
160552.09+044312.64,241.4640,+04.6985
172916.70+264447.47,262.2802,+26.7970
172651.65+265442.41,261.7459,+26.9480
172538.77+272413.86,261.4327,+27.3987
181126.83+233413.71,272.8804,+23.6063
181037.17+232344.08,272.6629,+23.3811

J000006.75-004653.8 ,000.02816,-00.78162,
J000006.93+204428.5 ,000.02888,+20.74126,
J000007.29+295700.1 ,000.03029,+29.95012,
J000007.29-060806.0 ,000.03037,-06.13500,
J000015.76+173852.9 ,000.06569,+17.64803,
J000018.14+185755.8 ,000.07560,+18.96551,
J000018.40+221802.8 ,000.07670,+22.30079,
J000022.53-105142.1 ,000.09391,-10.86171,
J000022.88-000635.7 ,000.09534,-00.10992,
J000023.41+152746.0 ,000.09758,+15.46279,
J000024.25+052433.2 ,000.10106,+05.40924,
J000033.14+292857.5 ,000.13811,+29.48264,
J000034.05-052922.3 ,000.14191,-05.48954,
J000034.07-010820.0 ,000.14198,-01.13891,
J000034.58+203243.8 ,000.14410,+20.54552,
J000035.31+310851.0 ,000.14716,+31.14752,
J000042.87+013221.7 ,000.17864,+01.53937,
J000047.37+224037.3 ,000.19741,+22.67704,
J000051.84+272405.3 ,000.21603,+27.40147,
